clean_text,sentimiento,sentimiento_escalado
mrrajan explained universal income scheme beautifully tried level best force rajan talk against save face his master modi but failed lapdog medias very concerned about fiscal burden now which never seen when ambanis looted public money ,-0.5023,0.24885000000000002
sir this precisely why hindus have always gotten beaten throughout historywe never understand our priorities its not question economydevelopment but question civilizational survivali pity those hindus who will vote modi bcoz other alternative,-0.5719,0.21405000000000002
dont know modi will ban pellet guns elections are near ,-0.5574,0.2213
"why did congress not courage this their tenure
this thing only happen modi tenure why
statue unity made modi why lot development happend modi tenure due only modi why its not happen previous goverment",-0.3875,0.30625
has narendra modi violated election code conduct with mission shakti announcement heres explainer ,-0.5267,0.23665000000000003
lutyens media going full steam promote the stupid promise 72000 per year though discretely prople who were shedding crocodile tears about ‘joblessness’ under modi have turned economists conjecturing absurdities proabilities justify the ‘vision’ moron,-0.5574,0.2213
"they have asked many renowned economists and the government has too much money
modi has money for corporates only congress has for poor",-0.4767,0.26165
because modi sarkar sensing defeat,-0.4588,0.2706
hes dumb upper caste class supremacist must nvr hav experienced prangs hunger cold winter nights wid blanket doesnt knw tht universal basic income latest discussion bringing equality whereas modis sabkasathsabkavikas was mere altered slogan who sdgs,-0.5859,0.20705
website launched alphabetically catalogues modibjp related scams ,-0.5106,0.24469999999999997
"they mocked manmohan singh too mocking the elected candidate way means mocking position india
its truth being shared its our who embarassing not the ones who share what did
modi hasnt taken any bold decisions foolish may ",-0.6229,0.18855
why using modis made bank accounts indians for his scheme shame raga for years did not anything,-0.4767,0.26165
are you not happy about the indias achievement modi just informed the nation about the achievement our scientists,-0.4585,0.27075
auntie sir son hates every indian citizen modi reddit wala hai kya,-0.4404,0.2798
who ever against modi are called mullawow then south india full mullaim not sangis hahaha this will show sangis even hide,-0.5609,0.21955000000000002
when modi contest two seats even was member take the confidence the people but contest seat this time because fear loosing amethi,-0.4854,0.2573
only thieves conmen tax evaders money launderers frauds looters pak supporters antinationals urban naxals and fake intellectual liberals would get scared before modis address the nation rest dont worry,-0.6116,0.19419999999999998
desperately needs trump modi,-0.3818,0.30910000000000004
rahul gandhi not dimwit perhaps doesnt have knowledge all issues but least boldly facing people and the press and tries answer their questions unlike modi ,-0.395,0.3025
the answer your question not required earlier sure you will recollect how modi spent quite bit time small time portal yourstory shradha sharma she wasnt asked send any questions advance and was nonsense interview modi and scaredlol,-0.5664,0.2168
modi government has been proved foolish providing proofs pakistan about air strikes,-0.5574,0.2213
mean modi even grade joker sad ,-0.3818,0.30910000000000004
londons westminster magistrate court rejects bail application nirav modi ,-0.4939,0.25305
how can pidis dumb yaar sonialalu will not tolerate anyone who potential competitor their sons for modi whoever has the potential take bharat bjp forward comes first country first party next self last ,-0.1531,0.42345
when did bjp promise such thing fake narrative modihaters,-0.2023,0.39885
"simple have post articles against modi minorities danger raga great
then block wil removed automatically",-0.296,0.352
under modi discovered that the earth round discovered the moon sent man the moon nitin armeshwar neil friends isro iisc and drdo were born laxmi bomb became nuclear bomb and now space power thanks modi you rox,-0.1027,0.44865
modi govt came power promising clean governance has been engulfed corruption charges from the very beginning rafale scam pnb scam demonetization scam free hand loot mehul choksi jay shah nirav modi etc …,-0.3744,0.31279999999999997
"not modi fan but strictly against congress its pariwarwad
currently indians not have any strong third option till the third option except akhilesh mamata mayawati educated people arrives must vote modi its truth",-0.2695,0.36524999999999996
really all can say ppl lyk who questions doubts credibility oders specially leader modi jis stature look whose talking sm1 who doesnt care about image same country which gvs education most renowned institutions tat too free ,-0.1351,0.43245
the open earlier they masqueraded destroy modi opposition but now when they can smell victory all pretenses are gone and ,-0.3071,0.34645000000000004
modi knows all short cuts tweak rules and bend laws,-0.296,0.352
people who cant differentiate antimodi antiindia not fit contest even panchayat level election ,-0.2755,0.36224999999999996
modi tsunami all corrupt parties pappu gappu bsp will lose their existence bjp will clean sweep election all other corrupt parties will weep bitterly after election results,-0.3182,0.3409
opposition isnt strong enough counter the system youre part this not modis problem joker,-0.2057,0.39715
how competence you chai wala tea seller illiterate stinky modi☕,-0.3612,0.3194
india shot down low earth orbit satellite modi ,-0.2732,0.3634
this man does not respect any human being ever 100s videos are evidence but moment gets intelligent loses face and begins stammering always short wordsalso walks out huff ,-0.302,0.349
the arrest nirav modi and the rule law ,-0.34,0.32999999999999996
what desperate attempt paint modi supporters anti muslim why you get annoyed when modi supporters call you pak apologists sometimes pakis losely you allege bhakts lowering the benchmark then what this,-0.34,0.32999999999999996
well obviously have now corrected another colossal blunder that nehru bloody sent satellites modi shot down jai ,-0.2023,0.39885
the called nayapakistan back its puranapakistan retains title heavy weight champion terrorism export abroad and persecution minorities home two minor hindu girls kidnapped islamised and married,-0.1779,0.41105
this time blind faith modi… absolute hate for congress milind deora via thanks ,-0.1779,0.41105
"ो ाू ै
ीी ा ीे ोी ो ा ें ाँी ा ी
you have fight against modi
hope you will not disappoint congress workers and indian poor public congress workers looking towards you ",-0.1386,0.43069999999999997
"nationalism growing modi era progressive participative politics cant eternally great ful bapu and nehru course then his generations till now its our time vote for mrright
",-0.3806,0.3097
that logic all the roadsinstitutions named after nehrugandhi family should renamed before elections try talk sense please and dont get blind your hatred for modi,-0.1635,0.41825
modi and his bum pals are the kind chowkidars who give chowkidars bad name keep watch while some criminal who has bribed them loots the very people the chowkidars are meant protect,-0.2263,0.38685
democracy danger too modi has captured even the courts this posing serious threat world peace will find out can plan any awards wapsi international stage ,-0.1531,0.42345
surgical strike space narendra modi says india has shot down live satellite space via ,-0.128,0.436
entire cntry looted ambani adani modi shd thankful india for not beheading him public this national treason ambani adani like devils can fuck thier own mother can they leave bharat mata safe,-0.296,0.352
sudhir chaudhary you really are thief were was your journalism when modi promised lakh kyn woh toh zhooti khairaat jumla that,-0.2911,0.35445
"both amit sha and modi are the only two indians concerned about indias security and the extent pals threat through their intellectual powers
both are planning announce the ban wearing black coloured dress especially for women",-0.3182,0.3409
curious isnt itthe tendency for anything good happening india attributed modi and for all who hate modi want belittle the achievement indias achievementto ensure modi doesnt get credit these people even the extent believing rogue nations ,-0.1739,0.41305000000000003
taj mahal was black dont know how became white modi was dont know how 2002 happened amit sha had heirs dont know how became bald head,0.0,0.5
watch modi interview republic bharat ,0.0,0.5
questions modi that wasn’ asked the republic interview ,0.0,0.5
nirav modi told his next court appearance will 1030am the 26th april via video link,0.0,0.5
his role investigation officer the nirav modi case was left untouched,0.0,0.5
"what for middle class should vote modi for making chowkidars and pakoda cart pushers
ाेशबचा",0.0,0.5
that what modi told his wife ,0.0,0.5
only 72000 modi gives more directly indirectly without telling,0.0,0.5
can two the same time tweet separately asking what congress has achieved and will speak about modis contribution here ,0.0,0.5
dont hack again alderson have already spend our entire money building statues and promotion campaigns modi dont have budget now ,0.0,0.5
did leader not say the same thing yesterday just lord vishnu was the end for all asuras chowkidar modi will end both the chandrasurs,0.0,0.5
after modi came nepal more close china ,0.0,0.5
towards new india modi has initiated with startupindia nobody has ever thought before what modiji doing gir the country ,0.0,0.5
stop dividing this nation based minority and majority neither nor modi clean slate its all politics,-0.0693,0.46535
the advertisement material for the boarding passes was provided scom media which handles branding and publicity work for several government projects gujarat ,0.0,0.5
italians offering doles just indicate that modi has filled the treasury forget its not 2004 modi coming again,-0.0258,0.4871
are you even awake yadav blind hatred for modi the drdo chief confirmed that this capability existed from 2012 but the upa did not allow field testing today the test launch and demonstrable capacity was carried out successfully,-0.0384,0.4808
modi should and make 80kper per yearunfortunately during election time gullible people fall for such propoganda like they did the states rajasthan and chattisgarh with farm loan waivers,0.0,0.5
had same why did they not after leadership matters not just having gandhi surnames ,-0.0191,0.49045
you can see wave only social media outside only sun heat wave felt,0.0,0.5
modi was not ruling karnataka was siddu from congress,0.0,0.5
today modi govt has the money because there are ghotalas per your imagination assume for moment congress were come power people are too busy filling their personal pockets that there money left for aam janta familiar old story,0.0,0.5
nehru can credited for the mess that modi cleaning ,0.0,0.5
btw modi contested two seats 2014,0.0,0.5
katua bhaiupa never gave the ahead for this programmethis was given and ask your mother nehru also your father,0.0,0.5
this your proof nehru visiting bhagat singh jail actually dont have enough time otherwise can teach you history and not whatsapp history but history with evidences that really exist other than what teached rss which modis historical knowledge example ,0.0,0.5
bindi packets with modi’ pictures viral online users look ‘paras fancy bindi’ trending viral news ,0.0,0.5
end the hypocrisy this govt himself scuttling investigation ,0.0,0.5
rahul gandhi polarising modi but indian liberals won’ use that word for him our opinion editor rama lakshmi writes ,0.0,0.5
this expected out modis message,0.0,0.5
chowkidar isnt about uniform nor about about being tied spot its spirit modi ,0.1779,0.58895
’ wrap from têteàtête with end the day says “modi took uturn took the right turn should not liar but rather statesman” ,0.2146,0.6073
ask him how measure manmohan era where international market were recession and modi govt where even got cheap fuel who perform better,0.0258,0.5129
deep analyses cong pak making namo more powerful effective than ever both cong pak are faltering way behind with all negativity inferiority elbowed corner  challenge modi get challenged everywhere,0.2433,0.62165
bhaktshah jahan did not create taj mahal modi did not make our prime minister doesnt have the decency credit our scientists for their achievements,0.1989,0.59945
din pehle lucknow vapis videsh lauta aap observations vipreet mahaul bilkul garam hai social gathering was without charged discussion election tive impact modi ghar maids leke electrician tak everyone aware,0.1511,0.57555
"“the opposition speaks the language terror groups and even supported another neighbour when india was working hard protect its territory” the prime minister said indirectly referring china
",0.0258,0.5129
modi worth whole lot let’ not get into mother and brother being poor flaunts with style from karnataka showed his wealth gandhi’ are restrained and polished ,0.25,0.625
kudos with inch chest india now the fourth nation have the capability defending itself space bigger achievement then having nuclear bomb via namo app ,0.0258,0.5129
yes modi can never have biryani will never ever like mughlai never ,0.1506,0.5753
poor farmers thy may even enjoy from modi govt scheme for farmers ,0.0258,0.5129
surely bjp alone cross 300 loksabha seatsthats power modi,0.2263,0.61315
its now never not fall prey false promises lies have suffered even after paying taxes inc wants increase all taxes and overburden they will loot cote for modi and safe,0.2023,0.60115
thagbandhan scared modi because came heavily corrupts who were used loot honest tax payers money ,0.1027,0.55135
this resident compares lion has created digital vector art saying ,0.25,0.625
thats compelling enough reason for vote for modi ,0.2263,0.61315
while was criticizing modis work with bhakt she said modi cute mean what the,0.128,0.5640000000000001
lauds wishes modi ‘happy theatre day’ ,0.1531,0.57655
narendra modi address nation with important message shortly ,0.2023,0.60115
left right all this called journalists celebrity tweeple just bark for money only that why never quote any them modi ask them clean his shit they will ready ,0.1531,0.57655
winner loser,0.1027,0.55135
only one sentence one slogan one chant every youth generation middle class womens har har modi େ modi ,0.0772,0.5386
what declare detection and updation legacy data kickstarted after 2016 when supreme court became serious matter and intervened seriously and modi had said prior 2014 not above the that can take steps now you seem big dumb congress supporter,0.128,0.5640000000000001
who said that modi will give 15lakh and watch youtube was giving estimate black money that amount equals 15lakh×population never said that will give 15l anyone and stop spreading lie ,0.0516,0.5258
why not nehru this all aircraft defence technology and anti satellite missile was developed ready modi snatched rafale deal from hal for ambani gave tot self reliance old dead dry lutters congressi now claims electoral credit for drdo test yes,0.1531,0.57655
problem not problem modi ended the speech chanting thrice succession,0.092,0.546
agreed but why has the modi govt not removed this abomination,0.1406,0.5703
three cornered contest will enable bjp secure majority seats because people want see only the helm central govt and that going force the myriad voters vote for bjp,0.1531,0.57655
"
cpi candidate details the failures modi govt’ schemes and the other hand bjp’ candidate enumerates the achievements his govt past years
watch with live ",0.0516,0.5258
modi rips apart scoundrels liars telugu desam party must feel ashamed himself dear teluguites please vote elect him again for more projects jobs and development ,0.0258,0.5129
"modi following developing indian port same lines
right now faster dredging work going that any storey cargo ships can reach and unload upload tons consignments
this will one the turning point our economic growth and beyond",0.4019,0.70095
modi’ mission shakti address did not violate code rules poll panel modi has done the very right thing proclaim him self economist has also confirmed views,0.3875,0.69375
modi should thank dad without him not earth,0.3612,0.6806
"yes its only modi nothing
you are advertising modi what more needed you will say modi modi then public will say modi modi modi",0.4019,0.70095
many many heartiest greetings for this biggest achievement completed modi goverment which was remained pending last congress govt ruled years which twice that was propased our drdo isro,0.4215,0.71075
modi weed energy ,0.2732,0.6366
shri narendra modi promises people that bjp will bring the black money back india ,0.3818,0.6909
anybody other than modi acceptable for indias future ,0.3182,0.6591
from the singular focus one man attempt replicate the party’ 2014 election win when the bjp ran presidentialstyle campaign projecting modi the savior india’ problems ,0.2732,0.6366
modi certified patriots and bhakts are like this wonly ,0.3612,0.6806
due modi and late parikarit became possible that tejas ioc part iafthey are ordered tejas mk1a toohal should increase his capacity and capability parcongressi never wanted tejas part iaf due his dalals mamachaha,0.3182,0.6591
yes she has the same proof what modis mother has for modis birth father believe katiyars mother too have one,0.4019,0.70095
absolutelysee alexander the great used fight along with his army see modi,0.3612,0.6806
btw here bihar looks like one sided affair modi all the way,0.3612,0.6806
why was tested only weeks elections was ready for test since 2010why not anytime between 2014 why elections season dimaag lagaaonahi hai toh ullu bante rahowoh bhi chhaati chaudi karke modi rattled desperatecan anything for headlines,0.3612,0.6806
which payment pakistani non muslim raise voice for non muslims rights indian paid ask imran khan raise voice why acting like shady front modi,0.3612,0.6806
while true should realized that india not responding america’ past asat testscapabilities nor the the intended audience for modi’ announcement,0.4215,0.71075
sinking like ,0.3612,0.6806
choron party congress modi again,0.4019,0.70095
modi says ‘mission shakti’ success shot down live satellite low earth orbit india news the indian express via ,0.3818,0.6909
often wondering off late why the marketing campaigns are low showcasing acheivements high jingoism after all modi government incumbent one may because the answers are obvious nda confident what will sell ,0.2732,0.6366
1947 gujarat and gave mahatma gandhi and jawaharlal nehru respectively years later those states give modi and yogi why have those states regressed over the years due increasing number bhakts how indians take india back the right track,0.4019,0.70095
dissidents most such mps not all cant win without modi stamp and they know ,0.3681,0.68405
please can some one post that video where she saying narendra modi and amit shah ,0.3182,0.6591
"but modi did create real crore employment merely givung crore mudra loan
leave millions other employment private sector and sme which not accounted for any data ",0.3291,0.66455
anything coming out modi’ mouth lie even were true ,0.4215,0.71075
bhai failed scheme and better answer presents than yrs old tell one benefit got what modi proposed during his speech,0.3818,0.6909
modi shuru kiya prachar geb news facebookgebnews twitter join geb news contact 9768786826922421552198709790517977478064,0.296,0.648
modi has got plan change constitution like hitler you have got plan change delhi pakistan you brd,0.3612,0.6806
apparently tulsi also fund raises for modis bjp party ,0.4019,0.70095
modi will win 2019 lok sabha election ,0.5859,0.79295
you are saying before modi india was superpower and everyone got job and they were happy,0.5719,0.7859499999999999
the fight not just against modi but also against his money power has bought every popular media movies print websites you name individuals have been brainwashed the amount loot bjp has gathered the last years unparalleled history ,0.4404,0.7202
"satendra veer singh chauhan indian nationals the way our
netaji subhash chandra bose are the national label mission inf for non compromised patriotism for
indian public awareness support strongly our narendra modiour has remembered netaji",0.5859,0.79295
yeah will teach about escape velocity may and modi will reach jupiter speed kms ,0.4588,0.7294
who gave funds for kisan yojana dont worry our economy strong and have worlds no1 economist with can deliver not chors like ambani all other modis,0.5568,0.7784
"rahul gandhi modi who won round one cbi tangle news today with rajdeep source youtube via dailyhunt download now
",0.5719,0.7859499999999999
these fake liberals have very good reach with breaking india forces and most them are just phone calls away from the power centers they silently work the background just like they did when they had revoke modis visa,0.4536,0.7268
there better actor than everyday drama and acting when pliable media speaks raga are you saying acting you remember the day vajapayee had bail him out when caught boston,0.4404,0.7202
the union cabinet chaired the prime minister shri narendra modi has given its expost facto approval the memorandum understanding mou between india and republic korea … ,0.4767,0.7383500000000001
merger costly procedure since you seem have very less idea about the process integration wont into details but take from the person who involved the system merger merger one the costliest corporate adventures ,0.4404,0.7202
"has only one agenda anything against modi has only agenda
anything against arun jaitely cant any more narrow than this
who bothered about people power the only attraction these two funny characters india 2019",0.5574,0.7787
thats what got 15lakhs our account farmers committed suicide black money disappeared also great personalities like nirav modi and vijay mallya crpf arent actually committing suicide but just making stories isnt ,0.428,0.714
good modi,0.4404,0.7202
after thanos returned all the infinity stones modi apologized for snapping his fingers once and made promise that will never come back earth again ,0.5574,0.7787
former isro chairman madhavan nair said wednesday march that india had the antisatellite missile capability more than decade ago but there was political will and for your info modi has given credit entire 130cr population india ,0.5267,0.76335
history will repeat with encore may better results 2019 compared 2014 aab bar phirse modi sarkar congress jayega chaar ,0.4404,0.7202
with success india space superpower ,0.5719,0.7859499999999999
here are 200 reasons vote modi 178346 houses built over existing 2875 houses built till 2014 home loan interest rate down from 103 2014 2018 annual savings 47160 for 30lakhs over years gst affordable housing remaining,0.4588,0.7294
dont worry can understand your pain not only jihadi masood azar but also all his supporters india will wiped out this new india under modi ,0.5272,0.7636000000000001
irony died thousand deaths after ruling for years accepted that they didn’ have money buy rafale now after years great governance modi want distribute freebies worth lac crores but few will never understand that,0.4939,0.74695
dear what neutral statement stable govt led modi coalition govt,0.5859,0.79295
"modi address nation perfect name for march theatre production
",0.5719,0.7859499999999999
dat shiws much rahul modi respectivly love dere cntryrahul ready hurt india reap his persnl benefitsmodi will try stay responsble,0.5106,0.7553000000000001
last preperations for the 2019 feel free visit from 2603 28032019 booth 2155 present the newest for ,0.5106,0.7553000000000001
for acting not job something loves does not these things for awards rewards does becoz love challenges and this one hell challenge for actor modi’ trailer out tomorrow ,0.5109,0.75545
modi jee very nice ,0.4754,0.7377
hope the watching close the tends forget hes not representing the party but the nation shouldnt violate the model code conduct modi cannot make any announcements take policy decisions about the lok sabha elections,0.5127,0.7563500000000001
hardcore congress man and friends feedback for modi govt ,0.4767,0.7383500000000001
big fan vetri maaran love his movies but voting for modi this time,0.5023,0.75115
wish congress exhibits maturity since this not modis achievement but the country wish had statesmanship guiding the country and not cheap politicking,0.6597,0.82985
modi not kid sitting for physics maths olympiad exams knowledge technicals for the technocrats figure out and explain far mocking religious beliefs are concerned remember most nobel prize winners believed man born virgin mother,0.6419,0.8209500000000001
only modi had guts things like trump all said and done modi was very soft dealing with his corrupt opponents expected more from him honest ,0.7239,0.86195
haha what you know about our leader true leader pakistan your modi living only fake military operations bring some literate person like imran kalhan than compare with him view rahul more educated than your modi,0.6369,0.81845
isss baaar fir modi sarkarbut dear just look those candidates whom you are giving tickets check them who they real are and can they development those areas ,0.6124,0.8062
amazing and amusing modi went give talk there too their recent events,0.7506,0.8753
hope common sense prevail people can have difference opinion they should voice out interest cant bigger than nation unfortunately this does hold true for just pin down they will anything and everything ,0.743,0.8714999999999999
god bless you modi sir ,0.5994,0.7997000000000001
"
‘you are far the best prime minister for india today’ kabir bedi wishes elected again actor replies his campaign ",0.7003,0.85015
support modi fully but oil prices fell which saved ,0.6757,0.83785
dont need sabhoot full faith trust our what modi and indian army says,0.7269,0.86345
2012 drdo attains capability doubt but then upa govt not given permission ahead for now nda modi govt gave green signal move forward result see clear surprisingly unable see this difference,0.6652,0.8326
think the biggest mistake retired officers continue adulate modi without logic when has proven innumerable times that his govt cares nothing for the armed forces national security except when there camera opportunity,0.7003,0.85015
"you read carefully says best evidence was not gathered investigation sadly for you that time was not modi
the lacuna this case was faulty motivated investigation journalist you should ask why this fraudulent investigation was done ",0.6101,0.80505
not only building toilets brother modi sarkar launched the worlds biggest free health care yojana through which crore people have got free treatment from illness like cancer not small thing bro,0.6908,0.8453999999999999
conclusion that thr was not effective system catch the crooks the cong govt did will modi does means helping his her called friends per media reports they one family ruled india for years did effective system what say,0.7046,0.8523000000000001
sir unfortunately these ppl like shatru and siddhu prefer the tissue papers and asswipes for naamdaars like pappus and laloos rather than working sincerely for kaamdaar mrmodi good riddance that they are the way out one more less headache worry about,0.6922,0.8461000000000001
kiddo did skip class school neither mentioned modi thief and addressed boss with boiling maybe bcos afraid will know the truth your boss relax know but wont share here wish all best for boss future saturday ,0.7243,0.86215
ensuring security beyond borders how modi’ antisatellite test made the fourth fifth frontiers safe ,0.7506,0.8753
seriously disappointed today with your old rhetoric vision india taught could manage best minds defeat modi never the less same old tactics graib garib rakho and election time paisa baitho have there solution from your grand old partu resolve,0.743,0.8714999999999999
modis blood filled with full pousinous thinkings his wifes life the best example for what else would the condition his innocent followers doubt,0.6249,0.81245
"
all indian women who are scaling new heights making the country proud are chowkidars all the women the country pledge join modi this endeavour empowering women for empowered nation via namo app jaihind vandemataram",0.6486,0.8243
"want modi win this election 
chowkidar chor nahein ",0.6249,0.81245
tbh even dont believe strikes have caused any sort casualties was genuine would have been the biggest victory for and modi would leave any chance promote his achievement the election frontier ,0.6715,0.83575
"narendra modi best prime minister india
yesterday today and tomorrow",0.6369,0.81845
"joshi vajpayee
⬇️⬇️
narendra modi amit shah
⬇️⬇️
ajay bish yogi adhithyanath can you see pattern
purists will say they are equally the same respect that but atleast terms the show they put they were less crass more respectable the first generation",0.7135,0.85675
you seem more under the spell modi than modi has just been yrs personally sources are your news shows najam sethi rauf klasara hassan nisar and that clown zaid hamid sure modi planted them too right thanks for your wishes tho,0.7003,0.85015
comment the modi economy the numbers look impressive any yardstick the economy has done well especially when one considers the precarious condition which the previous congressled government left ,0.6597,0.82985
noits modi who going save india have faith,0.7184,0.8592
why the first place the called great modi told the people doing when has failed bring the black money isnt fooling poor people,0.682,0.841
when sanghatan strong one can divide thats what the samskar sangh gives are united and will make win again ,0.872,0.9359999999999999
"why didnt you write book rahul gamdhi and years congress grooming him with 100s leaders huge cost incurred the party you like others also want earn and surviving the name modi btw you support hindus not strong
",0.8401,0.92005
apple apple comparison modi didnot performed asat design testsits credit given scientistsno credit modi jln neither taught iims nor invented anything isrowith same logic why are giving credit him,0.8481,0.92405
grade movie stars like rajinikanth amitabh bacchan akshay kumar lata mangeshkar supporting modi whereas grade filmmakers like aashiq abu bina paul anand patwardhan and others supporting congress,0.8689,0.93445
our respected prime minister shri narendra modi has nation wide agenda for clean india dehradoon municipal corporation garbage collection van only comes once week how can you expect clean dehradoon and clean nation ,0.8807,0.94035
when the entire country celebrating the great achievement drdo scientists and appreciating the will the govt modi was great fun watch the saboot gang panelists with severe heart burn todays debate  ,0.967,0.9835
"kejriwal will gave free water electricity modia where the money
kejriwal fulfilled his promise will write off farmers loans
modia where the money did modi will give you lakh
modia wah modiji wah
shah jumla tha",0.8126,0.9063
but all achievements made during modi rule can also start something today and let others make startup successful doesnt mean the one making startup successful isro has been the country for long but because the backing the they successful today,0.9568,0.9783999999999999
well said chowkidar shri ravi shankar prasad its for sure bjp will win big 2019 election people adore shri narendra modi jis teambjp versatile decisive leadership wisdom approaches ,0.9442,0.9721
"
under modi govt citizen now leading life with ability pursue maximum happiness with minimum hassles because the govt enabling better life which improving ease living",0.9201,0.9600500000000001
"completely success our indian scientist should announced drdo chief isro chief and not modi
what modi did completely publicity stunt hijack the success our scientist",0.8268,0.9134
never agree with anytime but like his straight forward answer opinions personal opinion sawmy far better than modi jaitley via ,0.8358,0.9178999999999999
you missed the point only under the freedom speech ensured modi govt one can opine freely where the need courage ,0.8442,0.9220999999999999
takeaways from the second o2h innovation conference nilesh modi vice president technology innovation cygnet infotech ahmedabad served the panel for ‘artificial intelligence where next’ ,0.8074,0.9037
modi has blessing and love 130 indian except few black sheep,0.8126,0.9063
yes request all voters support shri this coming elections order ensure one more seat for shri modi which will pave the way for his 2nd term ,0.7906,0.8953
haha one one hand you are asking modi and other hand calling him pakhandi salute your ,0.8555,0.9277500000000001
drdo was even that moment also but again drdo could get the approval from the upa govt 2012 under modi all possible dont jealous man there plenty more coming,0.8111,0.9055500000000001
ravi was listening modi ’ speech today and must tell you different note that really admire way you speak amazing orator pointed impassioned only wan describe this skill urs ि्मयकाी ंि ््यजनक ,0.8016,0.9008
